202
38 60 73
55 33 54
95 32 67
5 12 75
32 61 52
10 65 70
51 46 18
38 73 96
32 52 68
1 17 88
98 14 8
96 87 18
5 75 79
24 22 -4
1 15 17
98 8 16
24 89 22
31 65 23
14 84 38
78 88 2
27 88 17
98 41 14
24 85 89
78 2 15
27 17 94
50 61 32
24 11 85
98 42 41
10 70 40
78 15 1
83 65 31
98 40 42
83 35 11
78 1 88
95 67 29
35 63 11
69 27 94
83 31 35
80 16 9
57 64 46
53 79 95
33 20 89
80 98 16
69 94 38
53 95 72
33 89 86
69 38 84
24 -4 -8
80 40 98
33 86 54
80 9 47
95 29 72
53 72 64
80 10 40
29 67 68
80 47 10
81 46 36
66 54 86
70 24 71
81 18 46
66 55 54
57 53 64
71 90 30
58 5 79
49 69 84
81 36 6
64 36 46
71 -1 90
82 42 40
58 26 5
75 50 32
71 24 -8
83 11 24
58 79 53
81 6 55
75 95 79
13 0 21
71 -8 -1
73 51 87
61 -2 -4
81 55 66
59 0 13
13 21 22
75 32 95
70 71 30
83 70 65
63 97 66
59 13 45
37 91 25
73 87 96
70 30 82
83 24 70
51 18 87
81 66 97
43 88 27
61 22 21
50 -2 61
37 25 5
81 97 63
12 -2 50
43 27 69
61 -4 22
37 5 26
12 50 75
43 69 49
28 41 42
37 26 2
81 63 9
51 57 46
28 42 82
77 96 18
4 45 20
39 64 72
99 21 0
88 91 37
39 74 36
90 92 49
23 65 10
9 63 35
77 18 81
4 20 33
99 61 21
41 3 14
20 45 13
30 90 49
92 91 88
77 38 96
7 63 66
88 37 2
20 13 22
34 17 48
3 84 14
70 82 40
93 -2 12
92 88 43
77 14 38
39 36 64
34 44 51
30 28 82
92 43 49
77 9 8
62 61 99
57 58 53
34 48 44
47 9 35
77 81 9
39 0 59
74 59 45
62 99 0
39 59 74
48 15 26
47 35 31
77 8 14
74 45 4
15 2 26
48 17 15
89 20 22
34 73 60
19 49 84
47 31 23
91 -2 93
85 86 89
76 -1 -2
67 32 68
39 62 0
34 51 73
19 84 3
85 66 86
76 -2 91
90 -1 76
19 30 49
47 23 10
85 7 66
90 76 92
56 26 58
19 3 41
25 93 12
56 58 57
76 91 92
94 17 34
19 41 28
39 72 29
25 91 93
56 48 26
94 34 60
19 28 30
36 74 4
52 62 68
39 68 62
56 44 48
55 6 4
36 4 6
52 61 62
56 57 51
55 4 33
39 29 68
56 51 44
11 7 85
38 94 60
16 8 9
5 25 12
11 63 7
